epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1179,3.50944,5.73225,4.1048,0,0,0,0,3.3249,4.65496,4.15187,0.000215981,0.000215981,0.000215981
2,41.6174,3.47338,5.33415,4.05351,0,0,0,0,3.2331,4.64683,4.12246,0.000436145,0.000436145,0.000436145
3,61.0587,3.29591,4.74586,3.71765,0.00017,0.01136,0.00111,0.00011,3.2043,4.47299,3.91128,0.000654107,0.000654107,0.000654107
4,79.6686,3.00442,4.35935,3.41988,0.63906,0.05357,0.01263,0.00393,2.98469,4.12333,3.81887,0.000657095,0.000657095,0.000657095
5,99.2157,2.81377,3.79636,3.14381,0.45981,0.06526,0.00646,0.00203,2.87529,3.9108,3.28328,0.000653793,0.000653793,0.000653793
6,117.863,2.6698,3.3517,2.98933,0.57858,0.14741,0.16466,0.05311,2.61821,3.08342,3.04172,0.000650492,0.000650492,0.000650492
7,137.393,2.49332,3.16321,2.77981,0.64727,0.12792,0.20656,0.07948,2.42997,2.85254,2.81267,0.00064719,0.00064719,0.00064719
8,156.519,2.45177,2.987,2.71764,0.6639,0.12752,0.23246,0.09848,2.36647,3.09828,2.62885,0.000643888,0.000643888,0.000643888
9,176.011,2.29921,2.76165,2.61542,0.36024,0.23052,0.30777,0.13287,2.24951,2.67417,2.59553,0.000640587,0.000640587,0.000640587
10,195.209,2.24374,2.64817,2.56646,0.42579,0.24906,0.27081,0.11653,2.27619,2.65102,2.71488,0.000637285,0.000637285,0.000637285
11,214.001,2.00794,2.41046,2.37198,0.62026,0.28434,0.37911,0.189,2.05562,2.3791,2.52549,0.000633983,0.000633983,0.000633983
12,233.078,2.01631,2.2475,2.36442,0.59765,0.28416,0.467,0.24222,2.04152,2.35998,2.41179,0.000630682,0.000630682,0.000630682
13,251.589,2.00098,2.17863,2.32276,0.75527,0.24969,0.45354,0.21252,2.05638,2.61169,2.51441,0.00062738,0.00062738,0.00062738
